seed,scene_index,scene_name,method,success,terminal_error,min_dist,arrival_time_success,control_energy,update_count,accepted_update_count,confidence,alpha,pred_gain,recent_gain,norm_id_error,nnz_model
101,1,S1 Slippery-surface avoidance,sindy,1,0.29675993478239526,1.3400012329646438,12.200000000000001,14.901517942322563,22,10,0.8623823294234964,0.3549439512131932,0.7586282584764147,0.5049965115843186,0.03899319608262147,14
101,1,S1 Slippery-surface avoidance,standard,1,0.281529090524145,1.2994868229319898,12.200000000000001,14.566788474721514,0,0,,,,,,0
101,1,S1 Slippery-surface avoidance,rls,1,0.281529090524145,1.2994868229319898,12.200000000000001,14.566788474721514,108,108,,0.2,,,,0
101,2,S2 One-sided mud pit (benchmark),sindy,0,0.26711738833013215,0.33787425173337615,,11.684125707556284,19,8,0.8883279212525592,0.3387479207003659,0.9801640487666778,0.9740384763784681,0.0332947553700203,11
101,2,S2 One-sided mud pit (benchmark),standard,1,0.2585979503430807,0.3451196163217647,10.5,11.590922510896604,0,0,,,,,,0
101,2,S2 One-sided mud pit (benchmark),rls,1,0.26883399911269157,0.3540398232001854,10.4,11.631507636278315,90,90,,0.2,,,,0
101,3,S3 One-sided mud pit (stress),sindy,1,0.30428670017039827,0.48200107123506497,14.3,17.26126903405139,26,1,0.8986763167732701,0.09442719742252986,0.9908309330597463,0.9908427712032383,0.01208339275182609,13
101,3,S3 One-sided mud pit (stress),standard,0,0.30237348102582096,0.37240398333110036,,16.57630449347239,0,0,,,,,,0
101,3,S3 One-sided mud pit (stress),rls,0,0.2858214561136023,0.3733798078468298,,16.652611287165353,134,134,,0.2,,,,0
101,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.2589153202689478,0.4474585190907237,9.5,11.442687609838746,17,11,0.8949548614675888,0.36353055996305766,0.926006760794799,0.9524737954170375,0.009596014843409117,14
101,4,S4 Emergency avoidance with moving obstacle,standard,1,0.2536627058069899,0.4372189301845278,9.5,11.30841380163594,0,0,,,,,,0
